student_id,stop_id,attendance_probability,weekday,expected_attendance,name,grade,is_active
STU0080,S007,0.7,all,0.7,Priya Das,6,True
STU0081,S007,0.76,all,0.76,Uma Menon,4,True
STU0082,S007,0.69,all,0.69,Farida Krishnan,3,True
STU0083,S008,0.89,all,0.89,Hema Patel,1,True
STU0084,S008,0.86,all,0.86,Lakshmi Joshi,10,True
STU0085,S008,0.95,all,0.95,Dhruv Das,5,True
STU0086,S008,0.92,all,0.92,Chetan Iyer,2,True
STU0087,S008,0.98,all,0.98,Deepa Chandra,9,True
STU0088,S009,0.65,all,0.65,Uma Rajan,10,True
STU0089,S009,0.84,all,0.84,Nandini Sharma,9,True
STU0090,S009,0.69,all,0.69,Gautam Singh,3,True
STU0091,S009,0.68,all,0.68,Vikas Sen,3,True
STU0092,S009,0.87,all,0.87,Farida Rajan,10,True
STU0093,S009,0.72,all,0.72,Tarun Rao,9,True
STU0094,S009,0.77,all,0.77,Manish Rao,1,True
STU0095,S009,0.77,all,0.77,Farida Kumar,1,True
STU0096,S009,0.75,all,0.75,Hema Verma,5,True
STU0097,S010,0.83,all,0.83,Uma Reddy,9,True
STU0098,S010,0.85,all,0.85,Aarav Singh,2,True
STU0099,S010,0.9,all,0.9,Chetan Sen,1,True
STU0100,S010,0.74,all,0.74,Anil Iyer,10,True
STU0101,S010,0.7,all,0.7,Aditi Rajan,6,True
STU0102,S010,0.75,all,0.75,Chitra Kumar,6,True
STU0103,S011,0.66,all,0.66,Bhavya Iyer,9,True
STU0104,S011,0.7,all,0.7,Chitra Reddy,10,True
STU0105,S011,0.64,all,0.64,Esha Gupta,3,True
STU0106,S011,0.46,all,0.46,Chitra Reddy,1,True
STU0107,S011,0.72,all,0.72,Zara Reddy,4,True
STU0108,S011,0.8,all,0.8,Farida Gupta,2,True
STU0109,S011,0.62,all,0.62,Manish Pillai,4,True
STU0110,S011,0.66,all,0.66,Anil Chandra,6,True
STU0111,S011,0.59,all,0.59,Esha Pillai,1,True
STU0112,S011,0.77,all,0.77,Tarun Nair,7,True
STU0113,S011,0.56,all,0.56,Yamini Rao,6,True
STU0114,S011,0.78,all,0.78,Sanjana Das,7,True
STU0115,S012,0.65,all,0.65,Hema Sharma,2,True
STU0116,S012,0.58,all,0.58,Chitra Rao,3,True
STU0117,S012,0.52,all,0.52,Aditi Singh,10,True
STU0118,S012,0.61,all,0.61,Karan Iyer,6,True
STU0119,S012,0.51,all,0.51,Bhavya Krishnan,10,True
STU0120,S012,0.81,all,0.81,Dhruv Rao,1,True
STU0121,S012,0.72,all,0.72,Zara Sen,4,True
STU0122,S012,0.72,all,0.72,Ishaan Reddy,2,True
STU0123,S012,0.89,all,0.89,Rahul Menon,2,True
STU0124,S013,0.7,all,0.7,Vikas Rajan,9,True
STU0125,S013,0.73,all,0.73,Jaya Rajan,9,True
STU0126,S013,0.84,all,0.84,Chetan Nair,7,True
STU0127,S013,0.72,all,0.72,Vikas Gupta,10,True
STU0128,S013,0.69,all,0.69,Priya Rajan,7,True
STU0129,S013,0.76,all,0.76,Gautam Nair,7,True
STU0130,S013,0.76,all,0.76,Zara Mukherjee,10,True
STU0131,S013,0.71,all,0.71,Lakshmi Nair,9,True
STU0132,S013,0.69,all,0.69,Manish Gupta,2,True
STU0133,S013,0.74,all,0.74,Rahul Menon,2,True
STU0134,S013,0.88,all,0.88,Anil Pillai,5,True
STU0135,S013,0.77,all,0.77,Aarav Kumar,4,True
STU0136,S013,0.81,all,0.81,Manish Joshi,2,True
STU0137,S013,0.6,all,0.6,Priya Nair,7,True
STU0138,S014,0.83,all,0.83,Manish Krishnan,4,True
STU0139,S014,0.85,all,0.85,Chitra Singh,7,True
STU0140,S014,0.88,all,0.88,Esha Gupta,9,True
STU0141,S014,0.68,all,0.68,Brinda Singh,8,True
STU0142,S014,0.8,all,0.8,Chetan Chandra,9,True
STU0143,S014,0.89,all,0.89,Yamini Chandra,10,True
STU0144,S014,0.77,all,0.77,Anil Das,7,True
STU0145,S014,0.83,all,0.83,Chitra Gupta,8,True
STU0146,S014,0.69,all,0.69,Lakshmi Rao,4,True
STU0147,S014,0.81,all,0.81,Yamini Das,8,True
STU0148,S014,0.73,all,0.73,Sanjana Pillai,5,True
STU0149,S014,0.66,all,0.66,Esha Rao,6,True
STU0150,S015,0.82,all,0.82,Hema Sen,2,True
STU0151,S015,0.81,all,0.81,Uma Verma,4,True
STU0152,S015,0.81,all,0.81,Arjun Reddy,7,True
STU0153,S015,0.73,all,0.73,Aditi Nair,7,True
STU0154,S015,0.85,all,0.85,Jaya Mukherjee,1,True
STU0155,S015,0.85,all,0.85,Jaya Bose,1,True
STU0156,S016,0.62,all,0.62,Ishaan Rajan,7,True
STU0157,S016,0.85,all,0.85,Karan Sen,9,True
STU0158,S016,0.57,all,0.57,Zara Joshi,4,True
STU0159,S016,0.67,all,0.67,Manish Sharma,7,True
STU0160,S016,0.73,all,0.73,Hema Krishnan,3,True
STU0161,S016,0.83,all,0.83,Rahul Sen,1,True
STU0162,S016,0.58,all,0.58,Jaya Mukherjee,10,True
STU0163,S016,0.71,all,0.71,Karan Verma,8,True
STU0164,S016,0.7,all,0.7,Deepa Kumar,5,True
STU0165,S016,0.69,all,0.69,Hema Menon,7,True
STU0166,S016,0.77,all,0.77,Farida Reddy,5,True
STU0167,S016,0.78,all,0.78,Vikas Sen,1,True
STU0168,S016,0.65,all,0.65,Ishaan Pillai,2,True
STU0169,S016,0.75,all,0.75,Yamini Sharma,4,True
STU0170,S017,0.85,all,0.85,Dhruv Sharma,10,True
STU0171,S017,0.98,all,0.98,Tarun Singh,10,True
STU0172,S017,0.99,all,0.99,Dhruv Chandra,5,True
STU0173,S017,0.97,all,0.97,Rahul Singh,3,True
STU0174,S017,0.91,all,0.91,Gautam Singh,10,True
STU0175,S017,1.0,all,1.0,Tarun Krishnan,7,True
STU0176,S017,0.97,all,0.97,Uma Nair,2,True
STU0177,S017,0.83,all,0.83,Esha Singh,5,True
STU0178,S017,0.88,all,0.88,Brinda Joshi,2,True
STU0179,S017,0.99,all,0.99,Aditi Iyer,9,True
STU0180,S017,0.86,all,0.86,Karan Iyer,2,True
STU0181,S017,0.89,all,0.89,Brinda Reddy,8,True
STU0182,S017,0.96,all,0.96,Bhavya Reddy,6,True
STU0183,S017,0.86,all,0.86,Uma Verma,7,True
STU0184,S017,0.85,all,0.85,Deepa Das,5,True
STU0185,S017,0.83,all,0.83,Yamini Bose,8,True
STU0186,S017,0.84,all,0.84,Karan Mukherjee,5,True
STU0187,S018,0.57,all,0.57,Arjun Rao,8,True
STU0188,S018,0.65,all,0.65,Esha Chandra,10,True
STU0189,S018,0.54,all,0.54,Aarav Bose,6,True
STU0190,S018,0.55,all,0.55,Deepa Bose,4,True
STU0191,S018,0.56,all,0.56,Farida Joshi,5,True
STU0192,S018,0.65,all,0.65,Om Sharma,9,True
STU0193,S018,0.63,all,0.63,Vikas Reddy,8,True
STU0194,S018,0.59,all,0.59,Om Pillai,8,True
STU0195,S018,0.54,all,0.54,Zara Sharma,2,True
STU0196,S019,0.81,all,0.81,Gautam Pillai,7,True
STU0197,S019,0.86,all,0.86,Priya Iyer,8,True
STU0198,S019,0.82,all,0.82,Om Das,6,True
STU0199,S019,0.76,all,0.76,Hema Iyer,8,True
STU0200,S019,0.94,all,0.94,Farida Rajan,5,True
STU0201,S019,0.9,all,0.9,Hema Singh,9,True
STU0202,S019,1.0,all,1.0,Yamini Gupta,4,True
STU0203,S019,0.9,all,0.9,Vikas Mukherjee,9,True
STU0204,S019,0.97,all,0.97,Rahul Rajan,2,True
STU0205,S019,0.91,all,0.91,Ishaan Gupta,5,True
STU0206,S019,0.82,all,0.82,Aarav Sen,3,True
STU0207,S019,0.85,all,0.85,Om Rajan,3,True
STU0208,S020,0.85,all,0.85,Sanjana Bose,2,True
STU0209,S020,0.71,all,0.71,Manish Bose,8,True
STU0210,S020,0.57,all,0.57,Hema Gupta,1,True
STU0211,S020,0.64,all,0.64,Bhavya Patel,7,True
STU0212,S020,0.8,all,0.8,Manish Patel,10,True
STU0213,S020,0.62,all,0.62,Chetan Mukherjee,5,True
STU0214,S020,0.62,all,0.62,Arjun Pillai,2,True
STU0215,S020,0.56,all,0.56,Rahul Joshi,4,True
STU0216,S020,0.61,all,0.61,Yamini Das,7,True
STU0217,S020,0.56,all,0.56,Brinda Mukherjee,7,True
STU0218,S020,0.67,all,0.67,Gautam Mukherjee,10,True
STU0219,S020,0.83,all,0.83,Bhavya Nair,4,True
STU0220,S020,0.72,all,0.72,Farida Patel,3,True
STU0221,S021,0.57,all,0.57,Deepa Sharma,7,True
STU0222,S021,0.66,all,0.66,Lakshmi Joshi,8,True
STU0223,S021,0.55,all,0.55,Uma Rajan,8,True
STU0224,S021,0.62,all,0.62,Arjun Pillai,5,True
STU0225,S021,0.59,all,0.59,Tarun Nair,7,True
STU0226,S021,0.45,all,0.45,Bhavya Sen,4,True
STU0227,S021,0.46,all,0.46,Anil Verma,2,True
STU0228,S021,0.42,all,0.42,Aditi Gupta,5,True
STU0229,S021,0.44,all,0.44,Gautam Chandra,2,True
STU0230,S021,0.48,all,0.48,Lakshmi Rajan,7,True
STU0231,S021,0.65,all,0.65,Manish Chandra,2,True
STU0232,S022,0.93,all,0.93,Rahul Kumar,7,True
STU0233,S022,0.95,all,0.95,Aarav Patel,4,True
STU0234,S022,0.85,all,0.85,Tarun Mukherjee,10,True
STU0235,S022,1.0,all,1.0,Tarun Rao,10,True
STU0236,S022,0.86,all,0.86,Aditi Gupta,8,True
STU0237,S022,0.87,all,0.87,Farida Gupta,10,True
STU0238,S022,0.95,all,0.95,Karan Bose,2,True
STU0239,S022,0.88,all,0.88,Hema Singh,3,True
STU0240,S022,0.98,all,0.98,Hema Reddy,8,True
STU0241,S022,0.91,all,0.91,Anil Sen,1,True
STU0242,S022,1.0,all,1.0,Lakshmi Patel,6,True
STU0243,S022,0.96,all,0.96,Yamini Krishnan,9,True
STU0244,S022,1.0,all,1.0,Anil Sharma,9,True
STU0245,S023,0.58,all,0.58,Nandini Iyer,10,True
STU0246,S023,0.62,all,0.62,Yamini Bose,8,True
STU0247,S023,0.61,all,0.61,Om Verma,5,True
STU0248,S023,0.56,all,0.56,Lakshmi Bose,2,True
STU0249,S023,0.72,all,0.72,Zara Pillai,3,True
STU0250,S023,0.63,all,0.63,Gautam Sen,1,True
STU0251,S024,0.92,all,0.92,Anil Singh,8,True
STU0252,S024,0.94,all,0.94,Bhavya Verma,8,True
STU0253,S024,1.0,all,1.0,Uma Rao,7,True
STU0254,S024,0.92,all,0.92,Anil Bose,8,True
STU0255,S024,0.95,all,0.95,Jaya Nair,10,True
STU0256,S024,1.0,all,1.0,Nandini Verma,2,True
STU0257,S024,0.93,all,0.93,Karan Menon,9,True
STU0258,S025,0.85,all,0.85,Farida Sharma,5,True
STU0259,S025,0.69,all,0.69,Priya Bose,3,True
STU0260,S025,0.56,all,0.56,Lakshmi Sen,8,True
STU0261,S025,0.65,all,0.65,Om Krishnan,8,True
STU0262,S025,0.79,all,0.79,Hema Nair,4,True
STU0263,S025,0.66,all,0.66,Yamini Reddy,1,True
STU0264,S025,0.68,all,0.68,Hema Bose,7,True
STU0265,S025,0.62,all,0.62,Anil Verma,8,True
STU0266,S025,0.79,all,0.79,Aditi Verma,9,True
STU0267,S025,0.78,all,0.78,Bhavya Chandra,2,True
STU0268,S025,0.69,all,0.69,Nandini Chandra,1,True
STU0269,S025,0.7,all,0.7,Sanjana Verma,2,True
STU0270,S025,0.63,all,0.63,Manish Rao,6,True
STU0271,S025,0.65,all,0.65,Arjun Menon,9,True
STU0272,S026,0.73,all,0.73,Jaya Menon,8,True
STU0273,S026,0.81,all,0.81,Arjun Pillai,5,True
STU0274,S026,0.77,all,0.77,Esha Patel,7,True
STU0275,S026,0.92,all,0.92,Uma Singh,8,True
STU0276,S026,0.77,all,0.77,Deepa Rajan,1,True
STU0277,S026,0.93,all,0.93,Gautam Iyer,6,True
STU0278,S026,0.83,all,0.83,Karan Verma,4,True
STU0279,S026,0.69,all,0.69,Zara Gupta,3,True
STU0280,S026,0.77,all,0.77,Deepa Patel,10,True
STU0281,S026,0.87,all,0.87,Esha Bose,10,True
STU0282,S026,0.71,all,0.71,Chetan Pillai,8,True
STU0283,S026,0.73,all,0.73,Tarun Sharma,8,True
STU0284,S026,0.72,all,0.72,Chitra Rajan,9,True
STU0285,S027,0.61,all,0.61,Ishaan Mukherjee,5,True
STU0286,S027,0.63,all,0.63,Sanjana Reddy,5,True
STU0287,S027,0.49,all,0.49,Jaya Bose,2,True
STU0288,S027,0.58,all,0.58,Esha Krishnan,10,True
STU0289,S027,0.52,all,0.52,Uma Rajan,1,True
STU0290,S027,0.61,all,0.61,Anil Krishnan,5,True
STU0291,S027,0.72,all,0.72,Yamini Kumar,10,True
STU0292,S027,0.57,all,0.57,Vikas Bose,5,True
STU0293,S027,0.57,all,0.57,Zara Iyer,4,True
STU0294,S027,0.5,all,0.5,Sanjana Nair,10,True
STU0295,S027,0.56,all,0.56,Yamini Verma,2,True
STU0296,S027,0.69,all,0.69,Chitra Kumar,5,True
STU0297,S027,0.57,all,0.57,Ishaan Verma,2,True
STU0298,S027,0.54,all,0.54,Gautam Menon,7,True
STU0299,S027,0.58,all,0.58,Om Iyer,9,True
STU0300,S027,0.6,all,0.6,Nandini Rao,3,True
STU0301,S027,0.55,all,0.55,Manish Rajan,6,True
STU0302,S027,0.71,all,0.71,Zara Singh,8,True
STU0303,S028,0.9,all,0.9,Esha Krishnan,9,True
STU0304,S028,0.85,all,0.85,Ishaan Patel,7,True
STU0305,S028,0.96,all,0.96,Lakshmi Iyer,5,True
STU0306,S028,0.87,all,0.87,Priya Krishnan,6,True
STU0307,S028,0.91,all,0.91,Aarav Joshi,9,True
STU0308,S028,0.9,all,0.9,Hema Joshi,4,True
STU0309,S029,0.52,all,0.52,Lakshmi Rajan,7,True
STU0310,S029,0.5,all,0.5,Bhavya Verma,1,True
STU0311,S029,0.65,all,0.65,Manish Singh,2,True
STU0312,S029,0.57,all,0.57,Esha Sen,3,True
STU0313,S029,0.53,all,0.53,Vikas Sen,7,True
STU0314,S029,0.64,all,0.64,Priya Verma,7,True
STU0315,S029,0.5,all,0.5,Rahul Reddy,5,True
STU0316,S030,0.7,all,0.7,Aditi Iyer,4,True
STU0317,S030,0.65,all,0.65,Brinda Iyer,2,True
STU0318,S030,0.9,all,0.9,Tarun Iyer,9,True
STU0319,S030,0.92,all,0.92,Aditi Krishnan,5,True
STU0320,S030,0.76,all,0.76,Dhruv Singh,8,True
STU0321,S030,0.88,all,0.88,Sanjana Joshi,1,True
STU0322,S030,0.86,all,0.86,Aditi Menon,4,True
STU0323,S030,0.97,all,0.97,Dhruv Patel,9,True
STU0324,S030,0.82,all,0.82,Dhruv Mukherjee,4,True
STU0325,S030,0.85,all,0.85,Yamini Verma,10,True
STU0326,S030,0.78,all,0.78,Aarav Rao,3,True
STU0327,S030,0.93,all,0.93,Zara Gupta,2,True
STU0328,S030,0.82,all,0.82,Tarun Sharma,3,True
STU0329,S030,0.97,all,0.97,Esha Mukherjee,6,True
STU0330,S031,0.64,all,0.64,Aarav Gupta,5,True
STU0331,S031,0.75,all,0.75,Nandini Singh,2,True
STU0332,S031,0.67,all,0.67,Manish Chandra,6,True
STU0333,S031,0.59,all,0.59,Nandini Pillai,10,True
STU0334,S031,0.63,all,0.63,Aditi Das,5,True
STU0335,S031,0.43,all,0.43,Aditi Bose,7,True
STU0336,S031,0.68,all,0.68,Karan Singh,8,True
STU0337,S032,0.56,all,0.56,Chitra Patel,6,True
STU0338,S032,0.5,all,0.5,Rahul Verma,2,True
STU0339,S032,0.66,all,0.66,Priya Sen,6,True
STU0340,S032,0.66,all,0.66,Jaya Joshi,9,True
STU0341,S032,0.55,all,0.55,Karan Singh,2,True
STU0342,S032,0.67,all,0.67,Brinda Sen,4,True
STU0343,S032,0.43,all,0.43,Karan Menon,8,True
STU0344,S032,0.65,all,0.65,Jaya Reddy,2,True
STU0345,S032,0.55,all,0.55,Farida Iyer,3,True
STU0346,S032,0.64,all,0.64,Tarun Bose,2,True
STU0347,S032,0.61,all,0.61,Karan Singh,6,True
STU0348,S032,0.6,all,0.6,Zara Verma,9,True
STU0349,S032,0.77,all,0.77,Om Menon,2,True
STU0350,S032,0.65,all,0.65,Karan Iyer,7,True
